,src0,src1,dst,Instruction,Family,CPNUM[2:0],,,COPC[8:0],,,,,,,,,CPREG[11:0],,,,,,,,,,,,Hardware,,,,,,,,Software,,,,,,,,,Software Temp,,,,,Hardware Temp,Operand Width,,Operand width,Instruction number,,,,,,,,,
,,,,NAND.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,NAND.8,3'h0,5'hA,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,NAND.8,CDP,4'h1,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,2,2,,3'h,0,0,5'h,10,A,,,,,,,,
,,,,NOR.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,NOR.8,3'h0,5'hB,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,NOR.8,CDP,4'h1,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,3,3,,3'h,0,0,5'h,11,B,,,,,,,,
,,,,XOR.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,XOR.8,3'h0,5'hC,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,XOR.8,CDP,4'h1,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,4,4,,3'h,0,0,5'h,12,C,,,,,,,,
,,,,XNOR.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,1,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,XNOR.8,3'h0,5'hD,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,XNOR.8,CDP,4'h1,3'h5,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,5,5,,3'h,0,0,5'h,13,D,,,,,,,,
,,,,ASRR.8,Shift instruction,Rd,Rn,Rm,0,0,0,0,1,1,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ASRR.8,3'h0,5'hE,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ASRR.8,CDP,4'h1,3'h6,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,6,6,,3'h,0,0,5'h,14,E,,,,,,,,
,,,,LSRR.8,Shift instruction,Rd,Rn,Rm,0,0,0,0,1,1,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,LSRR.8,3'h0,5'hF,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,LSRR.8,CDP,4'h1,3'h7,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,7,7,,3'h,0,0,5'h,15,F,,,,,,,,
,,,,LSLR.8,Shift instruction,Rd,Rn,Rm,0,0,0,1,0,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,LSLR.8,3'h0,5'h10,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,LSLR.8,CDP,4'h2,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,2,2,0,0,,3'h,0,0,5'h,16,10,,,,,,,,
,,,,ROLR.8,Shift instruction,Rd,Rn,Rm,0,0,0,1,0,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ROLR.8,3'h0,5'h11,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ROLR.8,CDP,4'h2,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,2,2,1,1,,3'h,0,0,5'h,17,11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
